time_ns,acorr
0.0,0.7298367451511266
0.01,0.6785586949332969
0.02,0.6662937509453125
0.03,0.6595731692419008
0.04,0.654205353924354
0.05,0.6450727739796631
0.06,0.6405774205364356
0.07,0.6356360926930463
0.08,0.6278399957680614
0.09,0.6241690039881486
0.1,0.6226108430343082
0.11,0.6170360396494461
0.12,0.6161040708802794
0.13,0.6171182580501768
0.14,0.6117776473751364
0.15,0.607683365271888
0.16,0.6080917526526138
0.17,0.6045590611945348
0.18,0.5983786115196178
0.19,0.5960479459289543
0.2,0.5968933577328331
0.21,0.5943874005485799
0.22,0.5894782507861138
0.23,0.5897860823331047
0.24,0.5895850748793156
0.25,0.5889898249126099
0.26,0.5876274063299672
0.27,0.5850619684183117
0.28,0.5805232399733304
0.29,0.5819007668443819
0.3,0.5836683880643748
0.31,0.5832063453696307
0.32,0.583155402179091
0.33,0.5815537792235419
0.34,0.5804299919673375
0.35000000000000003,0.5807891025888116
0.36,0.5839783461865438
0.37,0.5807365864820313
0.38,0.5842658593924298
0.39,0.5817850857224417
0.4,0.5806236311889238
0.41000000000000003,0.5811398574092157
0.42,0.5806353075417967
0.43,0.5779968421162415
0.44,0.5763236833591309
0.45,0.578316631216414
0.46,0.5764584413338489
0.47000000000000003,0.5767178470014145
0.48,0.5742820442973041
0.49,0.5730441381017936
0.5,0.5730588870661195
0.51,0.5759092031154673
0.52,0.5742176167282934
0.53,0.5761138343081255
0.54,0.5755189406343592
0.55,0.575492038592657
0.56,0.5746710843281676
0.5700000000000001,0.5754794063902396
0.58,0.5745635568737296
0.59,0.5744797054666856
0.6,0.57410767041441
0.61,0.5738803292396166
0.62,0.5748279198550889
0.63,0.5774074910302188
0.64,0.5747378710908948
0.65,0.5774511449509693
0.66,0.579238905976005
0.67,0.5770993495733311
0.68,0.578215931057029
0.6900000000000001,0.5775095975606749
0.7000000000000001,0.5754992737668592
0.71,0.573214440476167
0.72,0.5724532538854052
0.73,0.5707659172474091
0.74,0.5671040214846007
0.75,0.5653152004631361
0.76,0.5634154678294861
0.77,0.5627731953567763
0.78,0.5654169824356099
0.79,0.5638177198622374
0.8,0.5613575009204754
0.81,0.5661520429079038
0.8200000000000001,0.5662708812296945
0.8300000000000001,0.5657833693119545
0.84,0.5643613815759415
0.85,0.5605577612042127
0.86,0.5586452708811038
0.87,0.5587862036670798
0.88,0.5579612758902245
0.89,0.5583287780017154
0.9,0.5572879358031786
0.91,0.5568578990233174
0.92,0.5585958867742155
0.93,0.5579622859770227
0.9400000000000001,0.559649195444915
0.9500000000000001,0.5605534935873238
0.96,0.5606912808387696
0.97,0.5603181535098136
0.98,0.5591886262781451
0.99,0.5585960174814439
1.0,0.5575814318373659
1.01,0.5582294962975842
1.02,0.559945514553588
1.03,0.5565159001777784
1.04,0.5596219211449376
1.05,0.5592072343247986
1.06,0.557946636026268
1.07,0.5605346352206725
1.08,0.5591369196009217
1.09,0.558365516092941
1.1,0.5559061972837002
1.11,0.556641858059282
1.12,0.5538517608514507
1.1300000000000001,0.5551817106433322
1.1400000000000001,0.5551208410118077
1.1500000000000001,0.5529984184091495
1.16,0.553026379827765
1.17,0.5532334357083516
1.18,0.5519925035338757
1.19,0.5484981321930389
1.2,0.5513571429389839
1.21,0.5497223669901523
1.22,0.5504480131847052
1.23,0.5492649415845896
1.24,0.5491952952583008
1.25,0.5484652880054556
1.26,0.5475697456369144
1.27,0.5464760780714918
1.28,0.5479608468729171
1.29,0.5490008964050508
1.3,0.5478121814800186
1.31,0.5502589703132967
1.32,0.5484481902248286
1.33,0.546224574227795
1.34,0.5499701258779579
1.35,0.5507462902753036
1.36,0.5503060329396121
1.37,0.5508910057842462
1.3800000000000001,0.5517572024883047
1.3900000000000001,0.549498901794804
1.4000000000000001,0.5490351029600815
1.41,0.5507124126636757
1.42,0.5519850134372164
1.43,0.5526395235109384
1.44,0.5541458926308925
1.45,0.5560156021407162
1.46,0.5550158673328983
1.47,0.5568032794254458
1.48,0.5577587857707358
1.49,0.5575005323636795
1.5,0.5596112487204334
1.51,0.5589624177847786
1.52,0.5602964002368263
1.53,0.5542109042684346
1.54,0.556347433685268
1.55,0.5580217655480315
1.56,0.5580148691828337
1.57,0.5556102818397335
1.58,0.5567428473513949
1.59,0.5564392030000651
1.6,0.5568231277708482
1.61,0.5580847304362498
1.62,0.5593402156957191
1.6300000000000001,0.5590550064307547
1.6400000000000001,0.5596758845435934
1.6500000000000001,0.5576933232673482
1.6600000000000001,0.5543750565277457
1.67,0.5583079463132395
1.68,0.5563687630624365
1.69,0.556006649054296
1.7,0.5556193701966468
1.71,0.5543440276094499
1.72,0.5519800002971081
1.73,0.5533001988893924
1.74,0.5523727733593481
1.75,0.5539510670848685
1.76,0.5570252089148698
1.77,0.5577469092323589
1.78,0.551366725822
1.79,0.5492263430506548
1.8,0.5502388796698764
1.81,0.5473241846170401
1.82,0.5478432050403772
1.83,0.5422662915598444
1.84,0.5424342964483186
1.85,0.5398561729230112
1.86,0.5389849818317745
1.87,0.5390201610134431
1.8800000000000001,0.5407395207535511
1.8900000000000001,0.5359356153476341
1.9000000000000001,0.5375219699746036
1.9100000000000001,0.5336576368355255
1.92,0.5342494852087588
1.93,0.5297829040228554
1.94,0.5335991555293644
1.95,0.5326038929671184
1.96,0.5322000632628503
1.97,0.5345947366763888
1.98,0.5364131262097839
1.99,0.5363464956487951
2.0,0.5395903535599968
2.0100000000000002,0.5372248779070836
2.02,0.5371305969481891
2.0300000000000002,0.5407119025179937
2.04,0.5408972149159886
2.05,0.5406168102509065
