time_ns,acorr
0.0,0.3934796106684971
0.01,0.36373661911725574
0.02,0.3545639287253641
0.03,0.35029393629824157
0.04,0.3460188551899843
0.05,0.3415300240126505
0.06,0.3384589334281528
0.07,0.336628650044159
0.08,0.3326482498299812
0.09,0.3309497080308172
0.1,0.32860608058038515
0.11,0.3262208756823464
0.12,0.32310261326980527
0.13,0.3243108260714318
0.14,0.32309965468976
0.15,0.321743593823763
0.16,0.3193136272841542
0.17,0.31926391056426523
0.18,0.31879864170092653
0.19,0.31743181672982335
0.2,0.31399096152711325
0.21,0.3114839394151368
0.22,0.31014233889663345
0.23,0.30803714320557385
0.24,0.3053842957470434
0.25,0.30488347937302096
0.26,0.30509031004695086
0.27,0.3024100600784426
0.28,0.3007638960704608
0.29,0.30038551598841784
0.3,0.2992221462301568
0.31,0.2980792815551515
0.32,0.2962770771569188
0.33,0.2952808575915266
0.34,0.2950375823560515
0.35000000000000003,0.2914945762676947
0.36,0.2902832622162521
0.37,0.2881967678138574
0.38,0.28640912236414595
0.39,0.28602860602259506
0.4,0.284479014766428
0.41000000000000003,0.2830083491031827
0.42,0.2818680711598773
0.43,0.2793582189404982
0.44,0.2782184567899798
0.45,0.277921563362748
0.46,0.27742362004528504
0.47000000000000003,0.27679342465216494
0.48,0.2746573602089432
0.49,0.27473295654377977
0.5,0.27448486585886456
0.51,0.2733562081327238
0.52,0.27324760476762006
0.53,0.2725271982480449
0.54,0.27168692080716883
0.55,0.2698433794786496
0.56,0.2710581611290378
0.5700000000000001,0.26895582999575907
0.58,0.2683094104823153
0.59,0.2682402473402355
0.6,0.26746928778088563
0.61,0.26733658457051
0.62,0.2658402905569734
0.63,0.2666698418567111
0.64,0.2674302182468328
0.65,0.26692829514311456
0.66,0.26674364805413997
0.67,0.26659007903243004
0.68,0.2660188759158168
0.6900000000000001,0.265124207855984
0.7000000000000001,0.2655400712632004
0.71,0.2662143477718443
0.72,0.26586780188679676
0.73,0.26668016503456754
0.74,0.26545830013320304
0.75,0.266561861560705
0.76,0.26746810440482377
0.77,0.2667764871114663
0.78,0.2667541612283826
0.79,0.26791647042561273
0.8,0.26870369051679655
0.81,0.2674383844972852
0.8200000000000001,0.26751898510701494
0.8300000000000001,0.2674033307991372
0.84,0.26839646050221216
0.85,0.26843219506634086
0.86,0.2695487672223976
0.87,0.26907379099039963
0.88,0.2681983953335494
0.89,0.2692551366573194
0.9,0.26964288562696737
0.91,0.267934674096628
0.92,0.26756268318003534
0.93,0.2684566187662677
0.9400000000000001,0.26825165167790843
0.9500000000000001,0.26795122879887867
0.96,0.26527523073471737
0.97,0.26532490410825105
0.98,0.2628811103259841
0.99,0.2633255393747993
1.0,0.26403914477390034
1.01,0.2627365034235147
1.02,0.2611642718881134
1.03,0.25996094775675416
1.04,0.25920902314425764
1.05,0.2586708542903784
1.06,0.25781720804827146
1.07,0.2568495716852803
1.08,0.25573681591161673
1.09,0.25547077490866416
1.1,0.2559381381393903
1.11,0.2546652242527863
1.12,0.2551489742585933
1.1300000000000001,0.2546902048806191
1.1400000000000001,0.2540384018670435
1.1500000000000001,0.2534867311619212
1.16,0.2534925664558475
1.17,0.25325001409502534
1.18,0.2531169651447998
1.19,0.2529268479803617
1.2,0.25262503480534076
1.21,0.25083868231316025
1.22,0.24949374332327767
1.23,0.2485525273073236
1.24,0.2500062250903296
1.25,0.24942475548523999
1.26,0.24887412304646317
1.27,0.24755569454133927
1.28,0.24663607936079487
1.29,0.2459645816992324
1.3,0.24441669795490703
1.31,0.2440229804470079
1.32,0.24443506808955856
1.33,0.24382363557293643
1.34,0.2411120142173527
1.35,0.2409033565989964
1.36,0.24087122469758318
1.37,0.23905859580740657
1.3800000000000001,0.23924630245587164
1.3900000000000001,0.2395301826164959
1.4000000000000001,0.23649881274201767
1.41,0.2361717131672004
1.42,0.2363929148747921
1.43,0.23515286267299143
1.44,0.23361738775643212
1.45,0.2312597328694598
1.46,0.23006922561458815
1.47,0.2271726391670993
1.48,0.2253780337684968
1.49,0.22402437267204908
1.5,0.22386728949594614
1.51,0.2237009147682465
1.52,0.22392115224182774
1.53,0.2216457054316116
1.54,0.22083084316351517
1.55,0.2214039682726806
1.56,0.2201323800391754
1.57,0.21881219785374922
1.58,0.2183030650609551
1.59,0.21733264407910086
1.6,0.21754252691296305
1.61,0.21790518796974898
1.62,0.216914034918002
1.6300000000000001,0.21635995621756682
1.6400000000000001,0.21655546124632002
1.6500000000000001,0.217463267278894
1.6600000000000001,0.21632476815559357
1.67,0.21431332972517794
1.68,0.21450624314613792
1.69,0.21286728499306926
1.7,0.21161661693889572
1.71,0.2105948218197907
1.72,0.21077928987335273
1.73,0.21285269342331428
1.74,0.21149809878835432
1.75,0.21049690084543465
1.76,0.2110015425181301
1.77,0.2087904658730118
1.78,0.20806728343923075
1.79,0.20736063085286746
1.8,0.20966307056027544
1.81,0.21028837067562575
1.82,0.2103363313044808
1.83,0.2113547679708134
1.84,0.21131918730883775
1.85,0.2092297170791484
1.86,0.20918879106586125
1.87,0.2099990362810116
1.8800000000000001,0.2101512611854065
1.8900000000000001,0.21006212362319784
1.9000000000000001,0.21078433997217205
1.9100000000000001,0.2113557784118525
1.92,0.21097162185884924
1.93,0.21148396418598628
1.94,0.2123988686260321
1.95,0.21155138698252587
1.96,0.21231577765644463
1.97,0.21307457569895125
1.98,0.21297980187306145
1.99,0.21461435983414465
2.0,0.21513424447812585
2.0100000000000002,0.2159023429712174
2.02,0.21526521819876565
2.0300000000000002,0.21568897264218884
2.04,0.21666535550920138
